time_id,impl_id,n_cells,factor,n_threads,runtime
time_apply,sparse_csr_matrix,185193000,570,1,4.906193786300719
time_routine,sparse_csr_matrix,185193000,570,1,30.34026884194463
time_apply,linear_stencil,195112000,580,1,2.773572078906
time_routine,linear_stencil,195112000,580,1,3.486310663167387
time_apply,sparse_band_matrix,195112000,580,1,3.213733447249979
time_routine,sparse_band_matrix,195112000,580,1,11.17207192210481
time_apply,sparse_csr_matrix,195112000,580,1,5.185445365961641
time_routine,sparse_csr_matrix,195112000,580,1,32.202966125682
time_apply,linear_stencil,205379000,590,1,2.902434818912297
time_routine,linear_stencil,205379000,590,1,3.701693138107657
time_apply,sparse_band_matrix,205379000,590,1,3.377118147909641
time_routine,sparse_band_matrix,205379000,590,1,11.67385598504916
time_apply,sparse_csr_matrix,205379000,590,1,5.492569141089916
time_routine,sparse_csr_matrix,205379000,590,1,33.91295776888728
time_apply,linear_stencil,216000000,600,1,3.088520159944892
time_routine,linear_stencil,216000000,600,1,3.968691987916827
time_apply,sparse_band_matrix,216000000,600,1,3.538735417183489
time_routine,sparse_band_matrix,216000000,600,1,12.50744558311999
time_apply,sparse_csr_matrix,216000000,600,1,5.75882116984576
time_routine,sparse_csr_matrix,216000000,600,1,35.75546669587493
time_apply,linear_stencil,226981000,610,1,3.208337713964283
time_routine,linear_stencil,226981000,610,1,4.030094970948994
time_apply,sparse_band_matrix,226981000,610,1,3.715648510027677
time_routine,sparse_band_matrix,226981000,610,1,12.97742583695799
time_apply,sparse_csr_matrix,226981000,610,1,6.085254081059247
time_routine,sparse_csr_matrix,226981000,610,1,37.25072930334136
time_apply,linear_stencil,238328000,620,1,3.381086081732064
time_routine,linear_stencil,238328000,620,1,4.215547010768205
time_apply,sparse_band_matrix,238328000,620,1,3.902776291128248
time_routine,sparse_band_matrix,238328000,620,1,13.63175264978781
time_apply,sparse_csr_matrix,238328000,620,1,6.325168967712671
time_routine,sparse_csr_matrix,238328000,620,1,39.23510628333315
time_apply,linear_stencil,250047000,630,1,3.546993485186249
time_routine,linear_stencil,250047000,630,1,4.482128370087594
time_apply,sparse_band_matrix,250047000,630,1,4.097505029290915
time_routine,sparse_band_matrix,250047000,630,1,14.30439577111974
time_apply,sparse_csr_matrix,250047000,630,1,6.621178762055933
time_routine,sparse_csr_matrix,250047000,630,1,41.12630198244005
time_apply,linear_stencil,262144000,640,1,3.721475675236434
time_routine,linear_stencil,262144000,640,1,4.67778838891536
time_apply,sparse_band_matrix,262144000,640,1,4.499771725852042
time_routine,sparse_band_matrix,262144000,640,1,15.19971722178161
time_apply,sparse_csr_matrix,262144000,640,1,6.998398547060788
time_routine,sparse_csr_matrix,262144000,640,1,44.01579398009926
time_apply,linear_stencil,274625000,650,1,3.881852383725345
time_routine,linear_stencil,274625000,650,1,4.924538271035999
time_apply,sparse_band_matrix,274625000,650,1,4.518494721967727
time_routine,sparse_band_matrix,274625000,650,1,15.69742646999657
time_apply,sparse_csr_matrix,274625000,650,1,7.26526509784162
time_routine,sparse_csr_matrix,274625000,650,1,44.86596863297746
time_apply,linear_stencil,287496000,660,1,4.093473604880273
time_routine,linear_stencil,287496000,660,1,5.102277304977179
time_apply,sparse_band_matrix,287496000,660,1,4.716545282863081
time_routine,sparse_band_matrix,287496000,660,1,16.45063863834366
time_apply,sparse_csr_matrix,287496000,660,1,7.572909423150122
time_routine,sparse_csr_matrix,287496000,660,1,48.03699505422264
time_apply,linear_stencil,300763000,670,1,4.242084254045039
time_routine,linear_stencil,300763000,670,1,5.341720690019429
time_apply,sparse_band_matrix,300763000,670,1,4.958743540104479
time_routine,sparse_band_matrix,300763000,670,1,17.33580621983856
time_apply,sparse_csr_matrix,300763000,670,1,7.917743098922074
time_routine,sparse_csr_matrix,300763000,670,1,50.37633457873017
time_apply,linear_stencil,314432000,680,1,4.495492882095277
time_routine,linear_stencil,314432000,680,1,5.656096992082894
time_apply,sparse_band_matrix,314432000,680,1,5.180479512084275
time_routine,sparse_band_matrix,314432000,680,1,17.95746017619967
time_apply,sparse_csr_matrix,314432000,680,1,8.414376197848469
time_routine,sparse_csr_matrix,314432000,680,1,51.64458903018385
time_apply,linear_stencil,328509000,690,1,4.67781589878723
time_routine,linear_stencil,328509000,690,1,5.866162162274122
time_apply,sparse_band_matrix,328509000,690,1,5.421374519821256
time_routine,sparse_band_matrix,328509000,690,1,18.93993220292032
time_apply,sparse_csr_matrix,328509000,690,1,8.678305505309254
time_routine,sparse_csr_matrix,328509000,690,1,54.62016831384972
time_apply,linear_stencil,343000000,700,1,4.89831486903131
time_routine,linear_stencil,343000000,700,1,6.241399575024843
time_apply,sparse_band_matrix,343000000,700,1,5.650838866829872
time_routine,sparse_band_matrix,343000000,700,1,19.54509807378054
time_apply,sparse_csr_matrix,343000000,700,1,9.160678189713508
time_routine,sparse_csr_matrix,343000000,700,1,58.11637124419212
time_apply,linear_stencil,357911000,710,1,5.090381384827197
time_routine,linear_stencil,357911000,710,1,6.348653608001769
