time_id,impl_id,n_tiling_levels_rows,n_tiling_cols,actual_cpu_clock,max_cpu_clock,retired_instructions,cpu_clocks_unhalted,data_cache_accesses,data_cache_refills_all,runtime,runtime_unhalted,clock,cpi,data_cache_requests,data_cache_request_rate,data_cache_misses,data_cache_miss_rate,data_cache_miss_ratio
time_apply,linear_stencil_tiling,64,8,150739400000,117740200000,16931560000,137956100000,45385790000,14642250000,50.1021,64.1445,3008.6317,8.1479,45385790000,2.6805,14642250000,0.8648,0.3226
time_apply,linear_stencil_tiling,64,16,102111800000,80512850000,15022610000,89618810000,27438450000,7355627000,34.2596,43.4565,2980.1107,5.9656,27438450000,1.8265,7355627000,0.4896,0.2681
time_apply,linear_stencil_tiling,64,32,89187460000,70650370000,14068130000,77204470000,19696010000,3088835000,30.0641,37.9523,2966.5731,5.4879,19696010000,1.4000,3088835000,0.2196,0.1568
time_apply,linear_stencil_tiling,64,64,64129460000,53244720000,13590880000,53746810000,16622590000,1740497000,22.6842,27.2892,2830.3990,3.9546,16622590000,1.2231,1740497000,0.1281,0.1047
time_apply,linear_stencil_tiling,64,128,73233720000,58598940000,13352270000,61223440000,16980880000,1731885000,24.9356,31.1634,2936.8900,4.5852,16980880000,1.2718,1731885000,0.1297,0.1020
time_apply,linear_stencil_tiling,64,256,49887450000,41362130000,13232950000,39569680000,15093860000,806392500,17.6139,21.2288,2834.3588,2.9902,15093860000,1.1406,806392500,0.0609,0.0534
time_apply,linear_stencil_tiling,64,512,41957210000,33684090000,13173300000,31744340000,15037380000,605874100,14.3335,17.8543,2927.1576,2.4097,15037380000,1.1415,605874100,0.0460,0.0403
time_apply,linear_stencil_tiling,64,1024,42039280000,33746000000,13143470000,30204140000,15392220000,824401500,14.3633,17.8891,2927.5124,2.2980,15392220000,1.1711,824401500,0.0627,0.0536
time_apply,linear_stencil_tiling,64,2048,39178080000,31713380000,13128550000,27192750000,15193760000,708045400,13.4949,16.6716,2903.1335,2.0713,15193760000,1.1573,708045400,0.0539,0.0466
time_apply,linear_stencil_tiling,64,4096,37628520000,30297950000,13121100000,25740350000,15126660000,658791300,12.8930,16.0124,2918.5271,1.9618,15126660000,1.1528,658791300,0.0502,0.0436
time_apply,linear_stencil_tiling,64,8192,35071620000,28792770000,13117370000,23951380000,15040030000,613880300,12.2519,14.9241,2862.4608,1.8259,15040030000,1.1466,613880300,0.0468,0.0408
time_apply,linear_stencil_tiling,64,16384,38071270000,30898780000,13115500000,26216710000,15112130000,675727000,13.1484,16.2006,2895.4941,1.9989,15112130000,1.1522,675727000,0.0515,0.0447
time_apply,linear_stencil_tiling,64,32768,38122090000,30833720000,13114570000,26168810000,15058770000,664604600,13.1198,16.2222,2905.4769,1.9954,15058770000,1.1482,664604600,0.0507,0.0441
time_apply,linear_stencil_tiling,64,65536,37832120000,30208880000,13114110000,25858090000,15050420000,660933600,12.8545,16.0988,2943.0197,1.9718,15050420000,1.1477,660933600,0.0504,0.0439
time_apply,linear_stencil_tiling,128,4,159283000000,124119800000,20689140000,146690900000,49701720000,17406680000,52.8267,67.7801,3015.7522,7.0902,49701720000,2.4023,17406680000,0.8413,0.3502
time_apply,linear_stencil_tiling,128,8,148803000000,117367300000,16901420000,136547200000,43107000000,14197260000,49.9460,63.3208,2979.4064,8.0790,43107000000,2.5505,14197260000,0.8400,0.3293
time_apply,linear_stencil_tiling,128,16,103544600000,81972030000,15007540000,91661270000,26348440000,6992367000,34.8806,44.0616,2968.4418,6.1077,26348440000,1.7557,6992367000,0.4659,0.2654
