node_id,impl_id,region_id,obj_levels_rows,obj_cols,n_tiling_levels_rows,n_tiling_cols,actual_cpu_clock,max_cpu_clock,retired_instructions,cpu_clocks_unhalted,data_cache_accesses,data_cache_refills_all,runtime,runtime_unhalted,clock,cpi,data_cache_requests,data_cache_request_rate,data_cache_misses,data_cache_miss_rate,data_cache_miss_ratio
gauss3,linear_stencil_tiling,time_apply,2050,2050,512,256,90040710000,72902250000,26150370000,61881750000,29927110000,1430090000,31.0708,38.3165,2902.3586,2.3664,29927110000,1.1444,1430090000,0.0547,0.0478
gauss3,linear_stencil_tiling,time_apply,2050,2050,512,512,82294360000,68403620000,26032700000,54698400000,29681160000,1183041000,29.1431,35.0201,2827.1152,2.1011,29681160000,1.1401,1183041000,0.0454,0.0399
gauss3,linear_stencil_tiling,time_apply,2050,2050,512,1024,78244790000,62907830000,25973860000,49196200000,29612460000,1131688000,26.7680,33.2957,2922.9258,1.8941,29612460000,1.1401,1131688000,0.0436,0.0382
gauss3,linear_stencil_tiling,time_apply,2050,2050,1024,4,315450800000,255199700000,40962220000,282785100000,103611500000,37459890000,108.6397,134.2347,2904.8131,6.9036,103611500000,2.5294,37459890000,0.9145,0.3615
gauss3,linear_stencil_tiling,time_apply,2050,2050,1024,8,365957400000,304691200000,33439200000,332771700000,108164500000,38245660000,129.7384,155.7269,2822.5234,9.9515,108164500000,3.2347,38245660000,1.1437,0.3536
gauss3,linear_stencil_tiling,time_apply,2050,2050,1024,16,191445300000,159985500000,29677210000,160738300000,51472880000,13986510000,68.0786,81.4662,2812.1022,5.4162,51472880000,1.7344,13986510000,0.4713,0.2717
gauss3,linear_stencil_tiling,time_apply,2050,2050,1024,32,197247900000,162390500000,27796320000,162138600000,36702150000,5823768000,69.1040,83.9354,2854.4259,5.8331,36702150000,1.3204,5823768000,0.2095,0.1587
gauss3,linear_stencil_tiling,time_apply,2050,2050,1024,64,158573800000,130901300000,26855950000,123704300000,34109370000,4366168000,55.7023,67.4787,2846.7707,4.6062,34109370000,1.2701,4366168000,0.1626,0.1280
gauss3,linear_stencil_tiling,time_apply,2050,2050,1024,128,136108300000,112317500000,26385470000,102058800000,32689000000,3301658000,47.7979,57.9186,2847.7638,3.8680,32689000000,1.2389,3301658000,0.1251,0.1010
gauss3,linear_stencil_tiling,time_apply,2050,2050,1024,256,121218100000,94720400000,26150150000,87572640000,32010180000,2825015000,40.3055,51.5822,3007.4017,3.3488,32010180000,1.2241,2825015000,0.1080,0.0883
gauss3,linear_stencil_tiling,time_apply,2050,2050,1024,512,107352400000,88441520000,26032590000,74210870000,31535600000,2533142000,37.6364,45.6835,2852.3820,2.8507,31535600000,1.2114,2533142000,0.0973,0.0803
gauss3,linear_stencil_tiling,time_apply,2050,2050,1024,1024,92591470000,76501410000,25973810000,59720940000,30705170000,1855052000,32.5536,39.4014,2844.2029,2.2993,30705170000,1.1822,1855052000,0.0714,0.0604
gauss3,linear_stencil_notiling,time_apply,2050,2050,1,4,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,1,8,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,1,16,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,1,32,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,1,64,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,1,128,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,1,256,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,1,512,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,1,1024,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,2,4,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,2,8,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,2,16,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,2,32,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,2,64,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,2,128,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
gauss3,linear_stencil_notiling,time_apply,2050,2050,2,256,88357330000,72572320000,28035170000,55908130000,31482420000,2717067000,30.8817,37.5998,2861.0737,1.9942,31482420000,1.1230,2717067000,0.0969,0.0863
